"-- none","-- none"
"Actions","Actie"
"Add your custom attributes as Sooqr fields. The maximum number of allowed fields is restricted by your Sooqr subscription.","Voeg handmatig extra attributen toe aan je Sooqr feed. Het maximaal aantal velden is afhankelijk van je soort Sooqr account."
"API Details","API gegevens"
"Advanced Settings","Geavanceerde Instellingen"
"Attribute","Attribuut"
"By default prices are shown incl. Tax so only change this option if necessary.<br>If the feed export is without tax it's possible to add it with this option.<br>","Standaard worden de prijzen incl. btw getoond, verander deze optie enkel als het nodig is.<br>Wanneer de export feed de prijzen toont exclusief BTW is het mogelijk deze optie te gebruiken.<br>" 
"Cron","Cron"
"Configurable &amp; Grouped","Configureerbaar &amp; Gegroepeerde producten"
"Data: Brand","Data: Merk"
"Data: Category","Data: Categorie"
"Data: Condition","Data: Conditie"
"Data: Id, Name &amp; Description","Data: ID, Naam &amp; Omschrijving"
"Data: GTIN","Data: GTIN"
"Data: MPN","Data: MPN"
"Additional Fields","Extra velden"
"Default Category","Standaard categorie"
"Default Condition","Standaard conditie"
"Description Attribute","Omschrijving attribuut"
"Each store view will have their own Sooqr feed, you can easily activate or de-activate the Sooqr feed generation on store level or automatically generate the Sooqr feed. In case your not using the cron job functionality it's possible to generate the Sooqr feed manually.","Elke winkelzicht heeft zijn eigen Sooqr-feed. U kunt deze gemakkelijk activeren of de-activeren en Sooqr-feed automatisch laten genereren. In het geval dat u de cronjob functionaliteit niet gebruikt is het mogelijk om de Sooqr-feed handmatig te genereren."
"Enabled","Activeer"
"Enable Apparel","Activeer Kleding"
"Export non visible simple products of configurable and grouped products.","Exporteer niet zichtbaar simpele producten van configureerbare en gegroepeerd producten."
"Extra Fields","Extra velden"
"Export CMS Pages","Exporteer CMS pagina's"
"Include Products on Visibility","Voeg producten toe op basis van zichtbaarheid"
"Exclude products with this visibility","Sluit producten uit met deze zichtbaarheid"
"Every product","Elk product"
"Enable Debugging","Debug inschakelen"
"Exclude Products","Producten uitsluiten"
"Exclude Products on Status","Producten met deze status uitsluiten"
"Exclude Products on Visibility","Producten met deze zichtbaarheid uitsluiten"
"Exclude products with this status","Sluit producten met deze status uit"
"Exclude Products on Stock level","Producten uitsluiten op basis van voorraadniveau"
"Exclude out of stock products","Producten welke niet op voorraad zijn uitsluiten"
"Exclude products with this visibility","Sluit producten met deze zichtbaarheid uit"
"Exclude for Sooqr","Uitsluiten voor Sooqr"
"Extension Version","Extensie Versie"
"Extention needs to be enabled to use this function","De extensie dient geactiveerd te zijn om deze functie te gebruiken"
"Feed Generation","Feed Generatie"
"Feed Generation Settings","Feed instellingen"
"Frontend Version","Frontend versie"
"File writing not succeeded","Bestand schrijven niet gelukt"
"Filename","Bestandsnaam"
"Filter by Category","Filter op categorie"
